isbn	title	author	publisher	year_published	dewey_decimal	lcc_number	subjects
9781584889236	Design of Experiments: An Introduction Based on Linear Models	Morris, Max	Chapman and Hall/CRC	2011	519.57		science_experiments_instruments_measurement_scientific_instr
9780534368340	Design of experiments	Kuehl, R. O.	Duxbury/Thomson Learning	2000	1.422	Q182.3	science_experiments_statistical_methods|research_statistical_methods|statistics|numerical_analysis
9780521889452	Designing effective Web surveys	Couper, Mick	Cambridge University Press	2008	300.723	HM538	computers_internet_general|computers_internet_general_aas|nonfiction_social_sciences_research|nonfiction_social_sciences_sociology_general|nonfiction_social_sciences_sociology_general_aas|social_surveys_methodology|internet_surveys|surveys_methodology_technological_innovations|electronic_books
9780262520409	Discrete multivariate analysis	Bishop, Yvonne M. M.|Fienberg, Stephen E.|Holland, Paul W.	MIT Press	2000	519.5		angalisis_estadgistico_multivariable
9780879440091	Economic survey methods	Lansing, John Stephen|Morgan, James C.	Survey Research Center, Institute for Social Research, University of Michigan	2000	330	HC28	economic_surveys
9780534243425	Elementary Survey Sampling	Scheaffer, Richard L.|Mendenhall, William|Ott, Lyman	Duxbury Press	1995	519.5		amazon_com_science_general|amazon_com_science_mathematics_applied_probability_statistic|amazon_com_professional_technical_professional_science_aaaa6
9780534921859	Elementary survey sampling	Scheaffer, Richard L.|Mendenhall, William|Ott, Lyman	PWS-KENT Pub. Co	1990	519.52	HA31.2	sampling_statistics
9780137435760	Elements of sampling theory and methods	Govindarajulu, Z.	Prentice Hall	1999	519.52	QA276.6	sampling_statistics
9780792340454	Elements of survey sampling	Singh, Ravindra|Singh Mangat, Naurang	Kluwer Academic Publishers	1996	1.4222	QA276.6	sampling_statistics
9781584884156	Epidemiology	Woodward, Mark R.	Chapman & Hall/CRC	2005	614.40727		
9780470011331	Estimation in surveys with nonresponse	S�rndal, Carl-Erik|Lundstr�m, Sixten|S?arndal, Carl-Erik|Lundstr?om, Sixten	Wiley	2005	519.544	QA276.8	estimation_theory|sampling_statistics|non_response_statistics|nonresponse_statistics
